Date,State,Vegetable Name,Wholesale Price,Retail Price,Mall Price,Unit,Vegetable Image
2024-05-02,Gujarat,Banana Flower,17,20 - 22,20 - 28,1kg,N/A
2024-05-02,Gujarat,Capsicum,40,46 - 51,48 - 66,1kg,N/A
2024-05-02,Gujarat,Bitter Gourd,32,37 - 41,38 - 53,1kg,N/A
2024-05-02,Gujarat,Bottle Gourd,28,32 - 36,34 - 46,1kg,N/A
2024-05-02,Gujarat,Butter Beans,50,58 - 64,60 - 83,1kg,N/A
2024-05-02,Gujarat,Broad Beans,27,31 - 34,32 - 45,1kg,N/A
2024-05-02,Gujarat,Cabbage,21,24 - 27,25 - 35,1kg,N/A
2024-05-02,Gujarat,Carrot,43,49 - 55,52 - 71,1kg,N/A
2024-05-02,Gujarat,Cauliflower,25,29 - 32,30 - 41,1kg,N/A
2024-05-02,Gujarat,Cluster beans,43,49 - 55,52 - 71,1kg,N/A
2024-05-02,Gujarat,Coconut,36,41 - 46,43 - 59,1kg,N/A
2024-05-02,Gujarat,Colocasia Leaves,16,18 - 20,19 - 26,1kg,N/A
2024-05-02,Gujarat,Colocasia,25,29 - 32,30 - 41,1kg,N/A
2024-05-02,Gujarat,Coriander Leaves,9,10 - 11,11 - 15,1kg,N/A
2024-05-02,Gujarat,Corn,28,32 - 36,34 - 46,1kg,N/A
2024-05-02,Gujarat,Cucumber,26,30 - 33,31 - 43,1kg,N/A
2024-05-02,Gujarat,Curry Leaves,28,32 - 36,34 - 46,1kg,N/A
2024-05-02,Gujarat,Dill Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-02,Gujarat,Drumsticks,40,46 - 51,48 - 66,1kg,N/A
2024-05-02,Gujarat,Brinjal,28,32 - 36,34 - 46,1kg,N/A
2024-05-02,Gujarat,Brinjal (Big),25,29 - 32,30 - 41,1kg,N/A
2024-05-02,Gujarat,Elephant Yam,26,30 - 33,31 - 43,1kg,N/A
2024-05-02,Gujarat,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-02,Gujarat,French Beans,47,54 - 60,56 - 78,1kg,N/A
2024-05-02,Gujarat,Garlic,161,185 - 204,193 - 266,1kg,N/A
2024-05-02,Gujarat,Ginger,112,129 - 142,134 - 185,1kg,N/A
2024-05-02,Gujarat,Onion Green,41,47 - 52,49 - 68,1kg,N/A
2024-05-02,Gujarat,Green Peas,48,55 - 61,58 - 79,1kg,N/A
2024-05-02,Gujarat,Ivy Gourd,25,29 - 32,30 - 41,1kg,N/A
2024-05-02,Gujarat,Lemon (Lime),75,86 - 95,90 - 124,1kg,N/A
2024-05-02,Gujarat,Mango Raw,26,30 - 33,31 - 43,1kg,N/A
2024-05-02,Gujarat,Mint Leaves,4,5 - 5,5 - 7,1kg,N/A
2024-05-02,Gujarat,Mushroom,81,93 - 103,97 - 134,1kg,N/A
2024-05-02,Gujarat,Mustard Leaves,17,20 - 22,20 - 28,1kg,N/A
2024-05-02,Gujarat,Ladies Finger,39,45 - 50,47 - 64,1kg,N/A
2024-05-02,Gujarat,Pumpkin,18,21 - 23,22 - 30,1kg,N/A
2024-05-02,Gujarat,Radish,24,28 - 30,29 - 40,1kg,N/A
2024-05-02,Gujarat,Ridge Gourd,33,38 - 42,40 - 54,1kg,N/A
2024-05-02,Gujarat,Shallot (Pearl Onion),30,35 - 38,36 - 50,1kg,N/A
2024-05-02,Gujarat,Snake Gourd,27,31 - 34,32 - 45,1kg,N/A
2024-05-02,Gujarat,Sorrel Leaves,15,17 - 19,18 - 25,1kg,N/A
2024-05-02,Gujarat,Spinach,13,15 - 17,16 - 21,1kg,N/A
2024-05-02,Gujarat,Sweet Potato,36,41 - 46,43 - 59,1kg,N/A
2024-05-03,Gujarat,Onion Big,24,28 - 30,29 - 40,1kg,N/A
2024-05-03,Gujarat,Onion Small,33,38 - 42,40 - 54,1kg,N/A
2024-05-03,Gujarat,Tomato,25,29 - 32,30 - 41,1kg,N/A
2024-05-03,Gujarat,Green Chilli,42,48 - 53,50 - 69,1kg,N/A
2024-05-03,Gujarat,Beetroot,39,45 - 50,47 - 64,1kg,N/A
2024-05-03,Gujarat,Potato,31,36 - 39,37 - 51,1kg,N/A
2024-05-03,Gujarat,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,N/A
2024-05-03,Gujarat,Amaranth Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-03,Gujarat,Amla,70,81 - 89,84 - 116,1kg,N/A
2024-05-03,Gujarat,Ash gourd,19,22 - 24,23 - 31,1kg,N/A
2024-05-03,Gujarat,Baby Corn,61,70 - 77,73 - 101,1kg,N/A
2024-05-03,Gujarat,Banana Flower,17,20 - 22,20 - 28,1kg,N/A
2024-05-03,Gujarat,Capsicum,40,46 - 51,48 - 66,1kg,N/A
